"","3373-EN-1","3373-EN-10","3373-EN-11","3373-EN-2","3373-EN-3"
"ENSG00000227232",134,156,118,136,133
"ENSG00000278267",8,17,10,7,3
"ENSG00000233750",6,9,1,7,7
"ENSG00000268903",133,247,199,125,158
"ENSG00000269981",166,225,154,150,154
"ENSG00000241860",49,53,30,29,55
"ENSG00000279457",201,262,207,197,198
"ENSG00000228463",11,26,13,14,7
"ENSG00000237094",133,255,211,107,110
"ENSG00000225630",239,346,322,109,241
"ENSG00000237973",1038,1408,538,1549,1077
"ENSG00000229344",13,10,13,8,17
"ENSG00000248527",12373,18259,14655,9785,13523
"ENSG00000198744",3,9,9,1,13
"ENSG00000229376",7,6,2,3,3
"ENSG00000228327",197,361,272,192,214
"ENSG00000237491",25,129,54,42,44
"ENSG00000230092",1,11,2,5,2
"ENSG00000177757",5,8,2,3,4
"ENSG00000228794",981,1981,1053,996,1247
"ENSG00000225880",38,56,31,28,32
"ENSG00000272438",0,22,18,0,1
"ENSG00000230699",11,166,161,4,19
"ENSG00000223764",27,2280,1519,17,74
"ENSG00000187634",55,3556,2533,53,182
"ENSG00000188976",4019,3820,3387,2940,3261
"ENSG00000187961",1000,958,754,690,707
"ENSG00000187583",186,278,162,116,119
"ENSG00000187642",56,126,43,48,47
"ENSG00000272512",19,26,20,7,18
"ENSG00000188290",825,973,576,822,1024
"ENSG00000187608",628,154,99,487,360
"ENSG00000224969",1,31,4,9,6
"ENSG00000188157",30492,44386,31834,21347,24242
"ENSG00000217801",144,74,43,137,124
"ENSG00000273443",13,0,0,21,14
"ENSG00000237330",30,14,29,17,28
"ENSG00000131591",1110,1345,1100,940,969
"ENSG00000272141",0,9,5,1,7
"ENSG00000186891",1,3,4,6,6
"ENSG00000078808",9698,7154,5922,7078,6567
"ENSG00000176022",2363,2425,1910,2241,2191
"ENSG00000184163",56,73,63,34,46
"ENSG00000260179",8,28,8,7,7
"ENSG00000160087",2223,2390,1671,2128,1880
"ENSG00000230415",18,8,15,4,12
"ENSG00000162572",90,82,91,43,60
"ENSG00000131584",3583,2572,1844,2951,2582
"ENSG00000169972",524,376,391,415,479
"ENSG00000127054",3408,2842,2577,2648,2617
"ENSG00000240731",75,90,66,87,49
"ENSG00000224051",1318,859,698,1139,1028
"ENSG00000169962",23,26,27,26,15
"ENSG00000107404",2962,2663,2173,2123,2344
"ENSG00000162576",15261,5659,4556,12772,13085
"ENSG00000175756",4165,2833,2531,3492,3202
"ENSG00000223663",1,1,0,2,8
"ENSG00000221978",9850,16851,10697,11378,10875
"ENSG00000224870",980,930,798,755,728
"ENSG00000242485",1452,1547,1265,1262,1253
"ENSG00000272455",136,249,181,163,196
