"","3373-EN-1","3373-EN-10","3373-EN-11","3373-EN-2","3373-EN-3"
"ENSG00000235098",117,416,185,83,94
"ENSG00000225905",3,10,4,4,1
"ENSG00000205116",41,15,8,29,17
"ENSG00000225285",35,24,22,37,18
"ENSG00000179403",8830,4113,3377,6764,6145
"ENSG00000215915",82,61,53,57,49
"ENSG00000160072",2056,2885,2107,1815,1995
"ENSG00000197785",2076,2319,1939,1525,1769
"ENSG00000205090",185,107,93,118,139
"ENSG00000160075",4298,5599,3638,4292,4308
"ENSG00000215014",29,39,19,31,24
"ENSG00000228594",443,228,203,358,380
"ENSG00000272106",194,245,170,179,196
"ENSG00000197530",3201,2317,1845,2368,2264
"ENSG00000189409",64,56,41,28,87
"ENSG00000248333",2063,2248,1884,1777,1856
"ENSG00000189339",2666,3498,2611,2193,2346
"ENSG00000269737",150,253,173,115,149
"ENSG00000215914",12,7,8,12,12
"ENSG00000008128",63,88,49,26,35
"ENSG00000268575",75,168,98,69,96
"ENSG00000227775",889,1338,924,891,971
"ENSG00000215790",196,311,204,180,177
"ENSG00000008130",2403,2506,1788,2253,2441
"ENSG00000078369",12860,13155,8190,13107,12833
"ENSG00000231050",5,4,9,2,7
"ENSG00000169885",40,24,28,45,35
"ENSG00000178821",58,31,35,47,45
"ENSG00000142609",6,2,2,3,1
"ENSG00000067606",1471,1089,806,1199,1228
"ENSG00000271806",4,23,10,8,4
"ENSG00000182873",184,189,188,113,139
"ENSG00000162585",2287,2057,1736,1891,1893
"ENSG00000157933",3409,4332,2880,3010,3509
"ENSG00000116151",386,543,448,336,372
"ENSG00000269896",110,101,91,107,128
"ENSG00000272420",7,29,5,8,12
"ENSG00000157916",4219,3654,2286,4108,4194
"ENSG00000157911",801,989,868,798,691
"ENSG00000149527",13,19,15,9,5
"ENSG00000157881",781,827,707,609,632
"ENSG00000272449",15,16,11,5,4
"ENSG00000157870",555,688,601,466,612
"ENSG00000215912",23,29,22,19,8
"ENSG00000130762",247,1922,1475,166,340
"ENSG00000272088",0,12,13,0,2
"ENSG00000162591",696,7534,4382,390,867
"ENSG00000238260",17,31,23,19,16
"ENSG00000158109",853,913,704,905,925
"ENSG00000116213",584,837,757,447,523
"ENSG00000078900",67,210,171,46,87
"ENSG00000227372",1622,2399,1781,1481,1655
"ENSG00000162592",7,14,15,8,12
"ENSG00000235169",43,45,53,37,36
"ENSG00000130764",2321,2850,2041,2052,2069
"ENSG00000266075",3,10,2,3,4
"ENSG00000272153",48,82,36,45,45
"ENSG00000116198",1189,967,805,1112,1151
"ENSG00000169598",234,198,161,240,206
"ENSG00000198912",842,1244,895,886,868
"ENSG00000236423",8,23,22,8,20
"ENSG00000196581",20,7,2,8,13
"ENSG00000131697",618,947,694,511,567
"ENSG00000069424",161,179,172,154,148
"ENSG00000116254",30,68,38,22,22
"ENSG00000116251",9316,15257,10047,12808,10653
"ENSG00000226944",5,9,12,8,2
"ENSG00000158286",200,2304,1868,178,224
"ENSG00000116237",6650,9127,5491,7065,7789
"ENSG00000225077",22,11,3,24,28
"ENSG00000173673",10,0,0,4,2
"ENSG00000158292",323,390,137,327,392
"ENSG00000097021",2285,1387,1134,1603,1812
"ENSG00000069812",596,168,30,405,291
"ENSG00000187017",59,131,165,32,56
"ENSG00000215788",822,366,388,595,635
"ENSG00000171680",3452,1717,1487,2727,2662
"ENSG00000162408",1112,1707,980,1042,1207
"ENSG00000229519",6,25,11,8,7
"ENSG00000204859",803,852,841,643,769
"ENSG00000162413",1470,1109,1072,1376,1303
"ENSG00000116273",1866,1915,1856,2284,2089
"ENSG00000041988",403,397,334,337,382
"ENSG00000007923",1658,2276,1587,1266,1469
"ENSG00000237436",30,30,23,31,31
"ENSG00000171735",796,898,512,925,864
"ENSG00000270035",3,6,1,5,2
"ENSG00000269978",1,2,1,6,1
"ENSG00000049245",2194,3016,1314,3490,3000
"ENSG00000269925",19,34,7,17,22
"ENSG00000049246",100,66,44,106,78
"ENSG00000116288",4418,3530,2614,3936,3582
"ENSG00000200344",5,9,0,4,3
"ENSG00000116285",7952,17521,7748,9733,9631
"ENSG00000238290",6,13,2,8,7
"ENSG00000227634",6,2,0,4,1
"ENSG00000162426",12,151,84,7,14
"ENSG00000142599",4456,10916,7562,4303,4730
"ENSG00000232912",4,0,1,10,7
"ENSG00000224315",1,4,4,2,0
"ENSG00000228423",1,6,1,0,2
"ENSG00000074800",36758,38833,32806,25616,28255
"ENSG00000236269",2,19,8,7,9
"ENSG00000230679",4,11,4,2,1
"ENSG00000180758",227,362,242,163,193
"ENSG00000228526",697,1163,444,665,645
"ENSG00000234546",53,82,23,68,44
"ENSG00000281937",5,12,8,3,5
"ENSG00000049239",3976,4960,3417,3305,3962
"ENSG00000171621",2999,1334,551,2880,3782
"ENSG00000171612",350,560,377,419,389
"ENSG00000231181",13,18,14,8,12
"ENSG00000188807",832,1323,1252,644,822
"ENSG00000171608",1061,618,428,753,937
"ENSG00000231789",66,73,63,63,66
"ENSG00000171603",9423,13061,9055,6565,8369
"ENSG00000178585",2454,1999,1457,2431,2188
"ENSG00000162441",587,895,338,739,681
"ENSG00000228150",15,14,10,16,7
"ENSG00000173614",353,191,111,437,371
"ENSG00000283611",5,3,1,3,3
"ENSG00000162444",20,10,7,13,19
"ENSG00000130939",3263,5951,3140,3494,3499
"ENSG00000201746",3,7,2,3,3
"ENSG00000054523",4333,5242,2609,5025,5489
"ENSG00000142657",9058,10370,8249,7815,8373
"ENSG00000271989",0,5,2,1,2
"ENSG00000175279",18,45,15,28,25
"ENSG00000241563",7,18,11,6,14
"ENSG00000160049",2265,3362,2176,2175,2494
"ENSG00000142655",1079,1629,1447,872,801
"ENSG00000243267",1,7,6,0,1
"ENSG00000130940",63,544,645,33,35
"ENSG00000272078",8,57,61,7,7
"ENSG00000120948",2076,5599,2552,3381,3051
"ENSG00000009724",106,381,151,147,128
"ENSG00000271895",29,66,40,49,37
"ENSG00000116649",2373,1975,1988,1663,1602
"ENSG00000171824",2476,3142,2168,2414,2646
"ENSG00000226849",14,4,4,7,9
"ENSG00000230337",9,3,7,6,3
"ENSG00000198793",4727,5446,3829,3358,4488
"ENSG00000171819",118,5,0,111,88
"ENSG00000120942",904,1189,775,806,865
"ENSG00000238199",3,3,3,3,3
"ENSG00000204624",27,47,38,11,33
"ENSG00000116661",5963,1505,650,5742,4476
"ENSG00000132879",1365,947,566,1153,1046
"ENSG00000116663",215,88,71,212,115
"ENSG00000116670",1709,3860,2733,1527,1609
"ENSG00000162490",458,3216,1308,387,546
"ENSG00000177674",1746,1637,1557,1330,1264
"ENSG00000215910",1,4,5,0,0
"ENSG00000177000",904,1133,849,850,868
"ENSG00000011021",1757,2303,1615,1451,1551
"ENSG00000242349",16,12,6,9,7
"ENSG00000175206",16,13,7,11,5
"ENSG00000120937",260,589,134,123,195
"ENSG00000199347",0,5,5,0,0
"ENSG00000116685",5287,3741,3027,4052,3994
"ENSG00000083444",10414,5102,3143,7217,7344
"ENSG00000116688",4492,5639,3994,4040,4383
"ENSG00000116691",1913,1286,1266,1606,1546
"ENSG00000202461",7,12,4,2,13
"ENSG00000120949",101,2,0,92,54
"ENSG00000028137",624,247,17,390,143
"ENSG00000048707",2157,2979,1500,2099,2475
"ENSG00000239149",6,15,3,8,7
"ENSG00000162496",1178,5306,4216,1160,662
"ENSG00000221340",3,39,17,3,7
"ENSG00000276830",0,1,12,0,0
"ENSG00000272482",40,118,65,77,28
"ENSG00000204518",7,0,0,15,5
"ENSG00000188984",123,3,0,79,71
"ENSG00000162493",1569,2648,1257,1232,1741
"ENSG00000116731",1899,2977,1434,2571,2526
"ENSG00000189337",603,1083,607,678,496
"ENSG00000175147",90,34,17,137,114
"ENSG00000171729",881,616,365,1336,1146
"ENSG00000204464",2,4,1,3,2
"ENSG00000142621",6,20,15,5,12
"ENSG00000228140",1,3,0,6,1
"ENSG00000142634",1537,959,631,1584,1493
"ENSG00000162438",5,4,1,1,1
"ENSG00000142615",1,4,0,7,4
"ENSG00000215704",13,7,5,5,7
"ENSG00000132906",806,609,417,892,706
"ENSG00000116138",715,1535,919,927,999
"ENSG00000116771",11,54,38,11,17
"ENSG00000237301",2,11,5,1,1
"ENSG00000235084",11,2,1,3,6
"ENSG00000197312",1602,2490,1416,2242,2383
"ENSG00000116786",3434,3598,3055,2620,2797
"ENSG00000237938",40,62,44,26,26
"ENSG00000162461",38,47,35,43,53
"ENSG00000162460",18,18,23,11,28
"ENSG00000162458",6664,4290,1732,6540,6845
"ENSG00000224321",2,2,1,2,3
"ENSG00000233954",1309,1128,1129,1327,1264
"ENSG00000178715",627,486,370,393,392
"ENSG00000179743",121,334,256,150,134
"ENSG00000065526",2662,5177,3959,2308,3118
"ENSG00000116809",1683,1577,1377,1298,1329
"ENSG00000173641",290,20,23,463,222
"ENSG00000186510",24,10,9,29,11
"ENSG00000232456",3,3,2,3,4
"ENSG00000184908",98,146,142,96,86
"ENSG00000185519",12,33,22,4,11
"ENSG00000142627",1707,3451,1051,977,1207
"ENSG00000227959",16,8,5,17,9
"ENSG00000224621",6,14,3,7,5
"ENSG00000142632",1667,2870,2632,1194,1312
"ENSG00000237276",13,7,6,11,9
"ENSG00000132881",182,211,131,149,175
"ENSG00000233929",1,10,8,1,1
"ENSG00000037637",1117,1176,808,1058,1095
"ENSG00000055070",4501,4948,3227,4112,3898
"ENSG00000226457",2,5,1,1,1
"ENSG00000187144",5,8,0,3,3
"ENSG00000157191",2433,1982,1135,2658,2487
"ENSG00000226029",39,45,36,40,41
"ENSG00000080947",435,358,299,327,355
"ENSG00000261135",4,6,5,3,3
"ENSG00000233421",6,9,15,2,3
"ENSG00000219481",1229,1255,875,1194,1146
"ENSG00000215908",1757,2207,1788,1423,1561
"ENSG00000186301",334,118,132,246,256
"ENSG00000236698",640,1493,657,1280,1000
"ENSG00000268869",3,16,6,9,9
"ENSG00000058453",1801,1897,1860,1411,1596
"ENSG00000186715",115,67,48,99,125
"ENSG00000228549",4,35,34,13,8
"ENSG00000238142",32,34,20,33,29
"ENSG00000235241",4,9,11,5,6
"ENSG00000117122",1969,1540,1171,1690,1958
"ENSG00000226526",8,12,5,14,9
"ENSG00000159363",5166,3154,2659,3628,3889
"ENSG00000117118",1062,955,639,1062,974
"ENSG00000117115",16,70,62,29,27
"ENSG00000142623",29,2,0,18,10
"ENSG00000142619",3,1,2,1,7
"ENSG00000179051",6467,10628,7174,5348,6882
"ENSG00000074964",1167,1418,967,859,891
"ENSG00000117154",9,1,10,3,25
"ENSG00000179023",61,105,65,45,55
"ENSG00000009709",0,131,84,0,0
"ENSG00000159423",1935,860,802,1685,1338
"ENSG00000169991",615,473,193,515,616
"ENSG00000272084",19,35,20,24,20
"ENSG00000127481",9038,14628,8421,6259,8669
"ENSG00000230424",15,17,17,8,14
"ENSG00000127463",3629,4279,2554,3066,3273
"ENSG00000053372",1166,1759,1376,1206,1207
"ENSG00000211454",21,61,65,19,20
"ENSG00000162482",35,107,89,41,51
"ENSG00000270728",38,108,49,68,61
"ENSG00000053371",2561,1649,1304,2207,2061
"ENSG00000200403",5,13,3,1,8
"ENSG00000040487",1749,1402,1206,1283,1253
"ENSG00000077549",8888,6976,3953,8620,8506
"ENSG00000173436",107,133,71,108,119
"ENSG00000226396",747,701,770,576,605
"ENSG00000158747",240,47,8,203,235
"ENSG00000162542",606,266,302,558,518
"ENSG00000169914",1108,1182,607,1541,1432
"ENSG00000188257",6,28,9,7,24
"ENSG00000162543",6,76,41,9,1
"ENSG00000162545",313,337,174,409,368
"ENSG00000090432",1727,1763,1188,1465,1377
"ENSG00000183114",2,64,30,2,0
"ENSG00000158825",8,16,43,9,23
"ENSG00000158828",824,632,495,639,712
"ENSG00000117242",229,230,148,171,205
"ENSG00000244038",14352,14719,11163,12047,12386
"ENSG00000117245",36,14,12,22,39
"ENSG00000189410",97,48,37,41,43
"ENSG00000127483",6574,10394,4965,9409,8030
"ENSG00000075151",2747,6097,2966,2994,3347
"ENSG00000117298",8411,2622,1804,5922,7717
"ENSG00000231105",4,9,3,5,5
"ENSG00000227001",16,32,27,32,18
"ENSG00000187952",7,24,12,12,13
"ENSG00000142794",292,403,310,276,302
"ENSG00000162551",5466,971,1618,3733,6197
"ENSG00000076864",147,79,79,74,98
"ENSG00000090686",2548,3862,1588,3143,2989
"ENSG00000187942",31,35,19,19,23
"ENSG00000142798",31508,41740,32684,22186,23756
"ENSG00000218510",293,461,308,343,306
"ENSG00000070831",7141,11258,4834,12124,9748
"ENSG00000230068",3,11,3,1,3
"ENSG00000271428",0,15,2,7,2
"ENSG00000271840",3,3,2,2,0
"ENSG00000162552",287,562,442,265,225
"ENSG00000184677",3058,5733,3230,2765,2833
"ENSG00000237200",8,28,7,9,16
"ENSG00000070886",3,33,48,3,9
"ENSG00000133216",1537,5691,3379,1032,1355
"ENSG00000004487",7320,13336,8710,7250,8550
"ENSG00000169641",4141,7287,3219,4685,5524
"ENSG00000229010",4,9,5,0,3
"ENSG00000252578",1,7,0,0,4
"ENSG00000179546",53,18,22,42,78
"ENSG00000261326",122,290,120,209,230
"ENSG00000125944",6672,16237,9313,8848,8306
"ENSG00000125945",422,496,346,559,504
"ENSG00000249087",189,123,137,137,197
"ENSG00000204219",48,17,2,31,34
"ENSG00000088280",2906,1173,626,2238,2374
"ENSG00000007968",197,611,449,278,256
"ENSG00000235052",0,1,3,4,4
"ENSG00000117318",644,2277,1828,620,1042
"ENSG00000142676",22253,27390,21665,25602,22798
"ENSG00000011007",1665,1829,1192,1983,2001
"ENSG00000236810",33,50,23,27,21
"ENSG00000057757",1375,1799,1082,1655,1648
"ENSG00000011009",3514,4550,3303,3204,3453
"ENSG00000117308",1946,813,674,1687,1506
"ENSG00000117305",1273,613,477,1212,1129
"ENSG00000179163",328,585,299,347,340
"ENSG00000189266",3855,6511,2897,6710,5960
"ENSG00000188529",3259,8551,3431,5408,4569
"ENSG00000142661",4,6,0,6,1
"ENSG00000142677",7,5,3,10,9
"ENSG00000185436",382,688,497,288,407
"ENSG00000232298",4,2,4,2,3
"ENSG00000158055",131,375,217,92,148
"ENSG00000001460",274,302,196,376,383
"ENSG00000001461",2054,705,426,1871,1593
"ENSG00000117602",1309,1244,677,1580,1678
"ENSG00000184454",10,20,4,2,6
"ENSG00000133226",3380,7964,4671,3889,4623
"ENSG00000169504",7928,11630,3818,15361,12069
"ENSG00000117614",912,1849,924,1280,1035
"ENSG00000117616",2098,2080,1675,2670,2680
"ENSG00000272432",4,20,14,10,6
"ENSG00000261349",7,9,9,7,4
"ENSG00000187010",16,32,30,11,16
"ENSG00000224183",0,1,10,3,2
"ENSG00000183726",2870,4036,2310,3412,3032
"ENSG00000188672",13,9,6,8,4
"ENSG00000238084",13,12,5,5,17
"ENSG00000204178",1462,2644,1378,1699,1654
"ENSG00000157978",709,953,581,671,565
"ENSG00000225643",3,11,11,2,0
"ENSG00000117643",78,117,36,75,79
"ENSG00000162430",6825,6123,5843,5055,6143
"ENSG00000228172",11,20,22,9,23
"ENSG00000117640",879,1002,614,786,791
"ENSG00000127423",238,352,252,373,366
"ENSG00000182749",1180,1099,786,916,809
"ENSG00000117632",14505,23773,13732,23386,19927
"ENSG00000229786",2,7,2,3,1
"ENSG00000223624",0,11,1,0,2
"ENSG00000158006",599,570,343,654,657
"ENSG00000158008",119,62,69,82,102
"ENSG00000158014",32,40,45,9,13
"ENSG00000175087",108,499,183,165,154
"ENSG00000197245",113,3,2,92,80
"ENSG00000236782",1,3,5,1,7
"ENSG00000142675",688,686,552,461,617
"ENSG00000188782",6,6,6,10,0
"ENSG00000236155",7,3,2,5,2
"ENSG00000130695",959,927,828,1033,998
"ENSG00000142669",3870,1085,955,3241,2812
"ENSG00000158062",595,977,986,486,537
"ENSG00000169442",5,17,29,8,11
"ENSG00000176092",1731,857,976,1047,1207
"ENSG00000225854",1,7,4,3,3
"ENSG00000131914",12691,17817,15760,15112,17966
"ENSG00000117682",2108,2056,1256,2085,2123
"ENSG00000223583",3,8,3,11,4
"ENSG00000225891",8,11,6,10,6
"ENSG00000198830",5294,9077,5066,9387,6647
"ENSG00000117676",1440,1263,862,1270,1206
"ENSG00000260063",32,35,22,17,32
"ENSG00000117713",9608,11562,8741,7986,9746
"ENSG00000060642",486,466,325,456,428
"ENSG00000204160",4295,2359,1605,3458,3629
"ENSG00000175793",4860,257,70,3341,3039
"ENSG00000142751",1446,1628,1268,1391,1351
"ENSG00000198746",657,663,491,517,537
"ENSG00000090273",4369,4333,3591,3488,3620
"ENSG00000131910",4,1,1,10,0
"ENSG00000175707",759,735,683,624,685
"ENSG00000224064",6,5,0,0,0
"ENSG00000253368",250,160,95,296,226
"ENSG00000158246",2091,1209,816,1966,1529
"ENSG00000090020",2918,3202,2109,1997,2114
"ENSG00000214973",120,156,108,104,101
"ENSG00000225159",794,1534,974,1158,1034
"ENSG00000142784",2213,3885,2611,1827,2099
"ENSG00000186501",1692,1673,1456,1492,1497
"ENSG00000241547",19,24,19,14,21
"ENSG00000142765",2429,1036,830,1752,1349
"ENSG00000142733",1320,247,195,1211,960
"ENSG00000174950",13,5,3,1,15
"ENSG00000181773",27,64,26,25,26
"ENSG00000158195",8984,7185,4616,8378,8716
"ENSG00000237429",7,4,2,4,8
"ENSG00000126705",6783,5790,6192,5759,6454
"ENSG00000235912",471,391,317,487,407
"ENSG00000126709",450,216,63,356,184
"ENSG00000225886",3,4,0,5,1
"ENSG00000009780",223,243,114,344,314
"ENSG00000231344",6,7,3,5,4
"ENSG00000117758",561,763,291,1003,752
"ENSG00000117751",1267,2303,1288,1583,1568
"ENSG00000130775",52,25,24,17,74
"ENSG00000117748",979,1445,960,1107,1130
"ENSG00000130768",102,1188,764,58,108
"ENSG00000227050",0,9,3,0,0
"ENSG00000158156",1048,874,708,783,854
"ENSG00000158161",981,1459,835,1085,1252
"ENSG00000238231",3,5,1,3,1
"ENSG00000240750",5,6,2,5,0
"ENSG00000228589",165,366,145,276,256
"ENSG00000214812",4,3,0,1,3
"ENSG00000169403",14,22,15,9,20
"ENSG00000126698",2621,4043,2439,3198,2999
"ENSG00000130770",2803,2280,1927,2805,2660
"ENSG00000270605",46,68,57,76,61
"ENSG00000271398",1,6,1,0,2
"ENSG00000130766",2265,1999,1689,1671,1597
"ENSG00000130772",580,483,298,611,590
"ENSG00000204138",1484,2646,1493,1702,1914
"ENSG00000180198",3850,6014,3897,4104,4264
"ENSG00000242125",1675,2671,1898,1836,1894
"ENSG00000200087",29,60,44,18,33
"ENSG00000231468",10,15,18,9,21
"ENSG00000279443",35,61,43,47,43
"ENSG00000180098",998,834,556,1191,1117
"ENSG00000197989",595,689,694,628,635
"ENSG00000221539",24,25,15,23,27
"ENSG00000120656",495,484,323,634,691
"ENSG00000188060",33,35,13,26,44
"ENSG00000162419",718,1086,699,810,806
"ENSG00000198492",3035,6114,3368,3936,3761
"ENSG00000116329",2327,307,248,1631,1976
"ENSG00000233427",3,1,1,2,8
"ENSG00000159023",2142,4570,3068,2124,2526
"ENSG00000225616",1,5,3,1,2
"ENSG00000253304",1566,154,90,1332,1237
"ENSG00000116350",4875,6910,4539,5308,5099
"ENSG00000116353",628,655,485,537,586
"ENSG00000237934",18,21,10,4,15
"ENSG00000060656",2828,11383,8033,1862,2731
"ENSG00000230523",4,3,2,2,1
"ENSG00000162510",13,17,8,11,10
"ENSG00000186056",30,37,33,26,17
"ENSG00000162511",26,5,2,13,5
"ENSG00000223382",7,3,0,6,3
"ENSG00000162512",14051,2997,2226,11637,9257
"ENSG00000134644",4395,8002,4910,4650,5062
"ENSG00000084628",142,1083,649,152,282
"ENSG00000060688",1322,2703,1931,1375,1495
"ENSG00000229447",2,16,15,3,9
"ENSG00000121766",1048,958,678,1080,1059
"ENSG00000121769",79,112,106,76,46
"ENSG00000168528",3142,2265,1613,2165,2808
"ENSG00000284543",2,13,9,2,2
"ENSG00000229167",2,42,40,4,5
"ENSG00000142910",3239,26257,13551,2283,3325
"ENSG00000121764",31,92,36,32,37
"ENSG00000162517",3206,1836,1328,3143,3039
"ENSG00000235790",74,75,17,95,100
"ENSG00000264078",3,3,2,1,2
"ENSG00000084636",2160,495,128,1925,1927
"ENSG00000121753",3366,751,441,3209,1934
"ENSG00000134668",157,55,39,96,122
"ENSG00000269967",1,1,1,3,4
"ENSG00000184007",3822,4979,2425,4997,4700
"ENSG00000228634",2,10,3,0,1
"ENSG00000121774",9393,15934,9039,12682,11555
"ENSG00000203325",3,7,2,5,3
"ENSG00000121775",845,1193,1001,628,713
"ENSG00000025800",2870,3884,1998,2780,3314
"ENSG00000084652",3599,3483,2460,3098,3535
"ENSG00000160050",399,201,170,372,347
"ENSG00000224066",4,4,6,1,3
"ENSG00000160051",117,280,210,137,128
"ENSG00000222046",20,36,31,19,17
"ENSG00000160055",330,314,218,301,267
"ENSG00000084623",4644,4437,3123,4070,4198
"ENSG00000220785",707,817,729,661,767
"ENSG00000183615",65,85,83,74,91
"ENSG00000182866",21,3,0,15,14
"ENSG00000116478",4173,4608,3188,4137,4393
"ENSG00000175130",16359,29350,20039,18822,18261
"ENSG00000162526",7,25,11,8,9
"ENSG00000225828",151,196,219,117,119
"ENSG00000160058",2921,3713,2209,2735,2704
"ENSG00000229259",1,2,5,0,2
"ENSG00000273274",143,354,177,201,230
"ENSG00000160062",289,650,290,528,473
"ENSG00000176261",398,455,259,369,346
"ENSG00000200591",2,3,0,6,1
"ENSG00000162521",5652,12978,6956,7712,7719
"ENSG00000162520",100,47,8,99,80
"ENSG00000162522",6221,10207,7909,5052,5554
"ENSG00000134684",3302,3461,2210,2635,3006
"ENSG00000116497",858,1276,753,1248,1092
"ENSG00000160097",19,929,1509,18,12
"ENSG00000121905",16,53,59,13,22
"ENSG00000121900",1898,2229,2679,1396,1354
"ENSG00000116514",1103,1164,1012,1085,1020
"ENSG00000239670",0,2,10,0,1
"ENSG00000004455",2041,3953,2493,2407,2215
"ENSG00000142920",192,206,123,155,163
"ENSG00000278997",4,60,31,9,17
"ENSG00000116525",429,2593,1567,351,438
"ENSG00000279179",14,213,83,16,16
"ENSG00000160094",1852,8473,5222,1775,1844
"ENSG00000270115",6,134,39,12,11
"ENSG00000225313",105,341,160,132,131
"ENSG00000134686",4082,8847,6590,3823,4208
"ENSG00000284154",4,17,4,5,7
"ENSG00000222112",16,55,24,19,7
"ENSG00000233246",2,10,7,0,2
"ENSG00000121903",282,356,194,224,283
"ENSG00000121904",106,49,44,66,74
"ENSG00000163866",1295,1308,819,1498,1303
"ENSG00000189280",21,49,29,19,10
"ENSG00000188910",62,19,29,37,53
"ENSG00000187513",4,19,17,0,0
"ENSG00000230163",41,42,54,45,66
"ENSG00000116544",52,61,34,52,65
"ENSG00000241014",89,85,53,88,77
"ENSG00000163867",136,349,102,320,261
"ENSG00000197056",375,807,304,668,601
"ENSG00000116560",14258,33519,18941,18811,18483
"ENSG00000146463",2303,5055,2408,3286,3365
"ENSG00000229994",4,3,4,10,8
"ENSG00000227409",1,6,1,1,3
"ENSG00000142687",5544,4615,2757,5223,5079
"ENSG00000020129",1357,1148,954,1113,1281
"ENSG00000239636",79,10,17,82,72
"ENSG00000116819",415,88,104,415,356
"ENSG00000126067",2993,3501,2515,3270,3253
"ENSG00000142686",646,406,334,751,762
"ENSG00000092853",1352,1629,1008,1600,1931
"ENSG00000134698",1179,2276,1191,1551,1512
"ENSG00000092847",2284,9247,4750,2244,2848
"ENSG00000126070",623,1324,507,963,891
"ENSG00000271554",4,7,1,1,2
"ENSG00000092850",26,76,154,20,23
"ENSG00000116863",1243,1281,952,1146,1126
"ENSG00000171812",19,39,4,13,42
"ENSG00000054116",1675,1583,947,1671,1664
"ENSG00000116871",9700,5329,4441,7398,7977
"ENSG00000054118",8192,11162,6726,9034,9281
"ENSG00000214193",1102,457,283,1042,947
"ENSG00000142694",1014,126,86,744,661
"ENSG00000116883",285,90,54,270,225
"ENSG00000196182",2729,2234,1488,2375,2314
"ENSG00000181817",746,525,441,665,576
"ENSG00000116885",144,147,103,158,152
"ENSG00000116898",1443,1264,943,1348,1330
"ENSG00000119535",116,106,27,57,23
"ENSG00000163873",6,6,7,13,17
"ENSG00000233621",34,3,1,25,33
"ENSG00000163874",246,164,157,208,298
"ENSG00000163875",666,1452,686,989,914
"ENSG00000263675",5,13,10,6,7
"ENSG00000163877",551,967,505,684,639
"ENSG00000163879",222,643,464,214,287
"ENSG00000134697",1603,2922,1899,1901,2112
"ENSG00000169218",18,35,41,11,36
"ENSG00000116922",427,845,621,568,579
"ENSG00000134690",2229,1738,1483,1756,1983
"ENSG00000183317",0,11,4,0,1
"ENSG00000185090",30,52,48,35,51
"ENSG00000196449",307,553,257,382,302
"ENSG00000197982",1620,1307,906,1730,1480
"ENSG00000188786",438,657,386,491,596
"ENSG00000204084",635,811,520,616,718
"ENSG00000183431",2536,3202,2069,2462,2685
"ENSG00000212541",3,8,2,7,11
"ENSG00000183386",1597,659,274,1455,1485
"ENSG00000183520",678,845,402,973,925
"ENSG00000185668",105,9,3,135,60
"ENSG00000224592",23,2,3,26,17
